,Framecount,Timestamp,Motion Detected,Face Detected
0,1,25/09/2023 19:48:07,0,0
1,2,25/09/2023 19:48:07,0,0
2,3,25/09/2023 19:48:07,0,0
3,4,25/09/2023 19:48:07,0,0
4,5,25/09/2023 19:48:07,0,0
5,6,25/09/2023 19:48:07,0,0
6,7,25/09/2023 19:48:07,0,0
7,8,25/09/2023 19:48:07,0,0
8,9,25/09/2023 19:48:07,0,0
9,10,25/09/2023 19:48:07,0,0
10,11,25/09/2023 19:48:07,0,0
11,12,25/09/2023 19:48:07,0,0
12,13,25/09/2023 19:48:08,0,0
13,14,25/09/2023 19:48:08,0,0
14,15,25/09/2023 19:48:08,0,0
15,16,25/09/2023 19:48:08,0,0
16,17,25/09/2023 19:48:08,0,0
17,18,25/09/2023 19:48:08,0,0
18,19,25/09/2023 19:48:08,0,0
19,20,25/09/2023 19:48:08,0,0
20,21,25/09/2023 19:48:08,0,0
21,22,25/09/2023 19:48:08,0,0
22,23,25/09/2023 19:48:08,0,0
23,24,25/09/2023 19:48:08,0,0
24,25,25/09/2023 19:48:08,0,0
25,26,25/09/2023 19:48:08,0,0
26,27,25/09/2023 19:48:08,0,0
27,28,25/09/2023 19:48:09,0,0
28,29,25/09/2023 19:48:09,0,0
29,30,25/09/2023 19:48:09,0,0
30,31,25/09/2023 19:48:09,0,0
31,32,25/09/2023 19:48:09,0,0
32,33,25/09/2023 19:48:09,0,0
33,34,25/09/2023 19:48:09,0,0
34,35,25/09/2023 19:48:09,0,0
35,36,25/09/2023 19:48:09,0,0
36,37,25/09/2023 19:48:09,0,0
37,38,25/09/2023 19:48:09,0,0
38,39,25/09/2023 19:48:09,0,0
39,40,25/09/2023 19:48:09,0,0
40,41,25/09/2023 19:48:09,0,0
41,42,25/09/2023 19:48:09,0,0
42,43,25/09/2023 19:48:10,0,0
43,44,25/09/2023 19:48:10,0,0
44,45,25/09/2023 19:48:10,0,0
45,46,25/09/2023 19:48:10,0,0
46,47,25/09/2023 19:48:10,0,0
47,48,25/09/2023 19:48:10,0,0
48,49,25/09/2023 19:48:10,0,0
49,50,25/09/2023 19:48:10,0,0
50,51,25/09/2023 19:48:10,0,0
51,52,25/09/2023 19:48:10,0,0
52,53,25/09/2023 19:48:10,0,0
53,54,25/09/2023 19:48:10,0,0
54,56,25/09/2023 19:48:11,0,0
55,57,25/09/2023 19:48:11,0,0
56,58,25/09/2023 19:48:11,0,0
57,59,25/09/2023 19:48:11,0,0
58,60,25/09/2023 19:48:11,0,0
59,61,25/09/2023 19:48:11,0,0
60,62,25/09/2023 19:48:11,0,0
61,63,25/09/2023 19:48:11,0,0
62,64,25/09/2023 19:48:11,0,0
63,65,25/09/2023 19:48:11,0,0
64,66,25/09/2023 19:48:11,0,0
65,67,25/09/2023 19:48:11,0,0
66,68,25/09/2023 19:48:11,0,0
67,69,25/09/2023 19:48:11,0,0
68,70,25/09/2023 19:48:11,0,0
69,71,25/09/2023 19:48:11,0,0
70,72,25/09/2023 19:48:11,0,0
71,73,25/09/2023 19:48:12,0,0
72,74,25/09/2023 19:48:12,0,0
73,75,25/09/2023 19:48:12,0,0
74,76,25/09/2023 19:48:12,0,0
75,77,25/09/2023 19:48:12,0,0
76,78,25/09/2023 19:48:12,0,0
77,79,25/09/2023 19:48:12,0,0
78,80,25/09/2023 19:48:12,0,0
79,81,25/09/2023 19:48:12,0,0
80,82,25/09/2023 19:48:12,0,0
81,83,25/09/2023 19:48:12,0,0
82,84,25/09/2023 19:48:12,0,0
83,85,25/09/2023 19:48:12,0,0
84,86,25/09/2023 19:48:12,0,0
85,87,25/09/2023 19:48:12,0,0
86,88,25/09/2023 19:48:13,0,0
87,89,25/09/2023 19:48:13,0,0
88,90,25/09/2023 19:48:13,0,0
89,91,25/09/2023 19:48:13,0,0
90,92,25/09/2023 19:48:13,0,0
91,93,25/09/2023 19:48:13,0,0
92,94,25/09/2023 19:48:13,0,0
93,95,25/09/2023 19:48:13,0,0
94,96,25/09/2023 19:48:13,0,0
95,97,25/09/2023 19:48:13,0,0
96,98,25/09/2023 19:48:13,0,0
97,99,25/09/2023 19:48:13,0,0
98,100,25/09/2023 19:48:13,0,0
99,101,25/09/2023 19:48:13,0,0
100,102,25/09/2023 19:48:13,0,0
101,103,25/09/2023 19:48:14,0,0
102,104,25/09/2023 19:48:14,0,0
103,105,25/09/2023 19:48:14,0,0
104,106,25/09/2023 19:48:14,0,0
105,107,25/09/2023 19:48:14,0,0
106,108,25/09/2023 19:48:14,0,0
107,109,25/09/2023 19:48:14,0,0
108,110,25/09/2023 19:48:14,0,0
109,111,25/09/2023 19:48:14,0,0
110,112,25/09/2023 19:48:14,0,0
111,113,25/09/2023 19:48:14,0,0
112,114,25/09/2023 19:48:14,0,0
113,116,25/09/2023 19:48:15,0,0
114,117,25/09/2023 19:48:15,0,0
115,118,25/09/2023 19:48:15,0,0
116,119,25/09/2023 19:48:15,0,0
117,120,25/09/2023 19:48:15,0,0
118,121,25/09/2023 19:48:15,0,0
119,122,25/09/2023 19:48:15,0,0
120,123,25/09/2023 19:48:15,0,0
121,124,25/09/2023 19:48:15,0,0
122,125,25/09/2023 19:48:15,0,0
123,126,25/09/2023 19:48:15,0,0
124,127,25/09/2023 19:48:15,0,0
125,128,25/09/2023 19:48:15,0,0
126,129,25/09/2023 19:48:15,0,0
127,130,25/09/2023 19:48:15,0,0
128,131,25/09/2023 19:48:15,0,0
129,132,25/09/2023 19:48:15,0,0
130,133,25/09/2023 19:48:16,0,0
131,134,25/09/2023 19:48:16,0,0
