,Framecount,Timestamp,Motion Detected,Face Detected
0,1,25/09/2023 19:55:31,0,0
1,2,25/09/2023 19:55:31,0,0
2,3,25/09/2023 19:55:31,0,0
3,4,25/09/2023 19:55:31,0,0
4,5,25/09/2023 19:55:31,0,0
5,6,25/09/2023 19:55:31,0,0
6,7,25/09/2023 19:55:31,0,0
7,8,25/09/2023 19:55:31,0,0
8,9,25/09/2023 19:55:31,0,0
9,10,25/09/2023 19:55:31,0,0
10,11,25/09/2023 19:55:32,0,0
11,12,25/09/2023 19:55:32,0,0
12,13,25/09/2023 19:55:32,0,0
13,14,25/09/2023 19:55:32,0,0
14,15,25/09/2023 19:55:32,0,0
15,16,25/09/2023 19:55:32,0,0
16,17,25/09/2023 19:55:32,0,0
17,18,25/09/2023 19:55:32,0,0
18,19,25/09/2023 19:55:32,0,0
19,20,25/09/2023 19:55:32,0,0
20,21,25/09/2023 19:55:32,0,0
21,22,25/09/2023 19:55:32,0,0
22,23,25/09/2023 19:55:32,0,0
23,24,25/09/2023 19:55:32,0,0
24,25,25/09/2023 19:55:32,0,0
25,26,25/09/2023 19:55:32,0,0
26,27,25/09/2023 19:55:33,0,0
27,28,25/09/2023 19:55:33,0,0
28,29,25/09/2023 19:55:33,0,0
29,30,25/09/2023 19:55:33,0,0
30,31,25/09/2023 19:55:33,0,0
31,32,25/09/2023 19:55:33,0,0
32,33,25/09/2023 19:55:33,0,0
33,34,25/09/2023 19:55:33,0,0
34,35,25/09/2023 19:55:33,0,0
35,36,25/09/2023 19:55:33,0,0
36,37,25/09/2023 19:55:33,0,0
37,38,25/09/2023 19:55:33,0,0
38,39,25/09/2023 19:55:33,0,0
39,40,25/09/2023 19:55:33,0,0
40,41,25/09/2023 19:55:33,0,0
41,42,25/09/2023 19:55:34,0,0
42,43,25/09/2023 19:55:34,0,0
43,44,25/09/2023 19:55:34,0,0
44,45,25/09/2023 19:55:34,0,0
45,46,25/09/2023 19:55:34,0,0
46,47,25/09/2023 19:55:34,0,0
47,48,25/09/2023 19:55:34,0,0
48,49,25/09/2023 19:55:34,0,0
49,50,25/09/2023 19:55:34,0,0
50,51,25/09/2023 19:55:34,0,0
51,52,25/09/2023 19:55:34,0,0
52,53,25/09/2023 19:55:34,0,0
53,54,25/09/2023 19:55:34,0,0
54,55,25/09/2023 19:55:34,0,0
55,56,25/09/2023 19:55:34,0,0
56,57,25/09/2023 19:55:35,0,0
57,58,25/09/2023 19:55:35,0,0
