,Framecount,Timestamp,Motion Detected,Face Detected
0,1,25/09/2023 19:36:53,0,0
1,2,25/09/2023 19:36:53,0,0
2,3,25/09/2023 19:36:53,0,0
3,4,25/09/2023 19:36:54,0,0
4,5,25/09/2023 19:36:54,0,0
5,6,25/09/2023 19:36:54,0,0
6,7,25/09/2023 19:36:54,0,0
7,8,25/09/2023 19:36:54,0,0
8,9,25/09/2023 19:36:54,0,0
9,10,25/09/2023 19:36:54,0,0
10,11,25/09/2023 19:36:54,0,0
11,12,25/09/2023 19:36:54,0,0
12,13,25/09/2023 19:36:54,0,0
13,14,25/09/2023 19:36:54,0,0
14,15,25/09/2023 19:36:54,0,0
15,16,25/09/2023 19:36:54,0,0
16,17,25/09/2023 19:36:54,0,0
17,18,25/09/2023 19:36:54,0,0
18,19,25/09/2023 19:36:55,0,0
19,20,25/09/2023 19:36:55,0,0
20,21,25/09/2023 19:36:55,0,0
21,22,25/09/2023 19:36:55,0,0
22,23,25/09/2023 19:36:55,0,0
23,24,25/09/2023 19:36:55,0,0
24,25,25/09/2023 19:36:55,0,0
25,26,25/09/2023 19:36:55,0,0
26,27,25/09/2023 19:36:55,0,0
27,28,25/09/2023 19:36:55,0,0
28,29,25/09/2023 19:36:55,0,0
29,30,25/09/2023 19:36:55,0,0
30,31,25/09/2023 19:36:55,0,0
31,32,25/09/2023 19:36:55,0,0
32,33,25/09/2023 19:36:55,0,0
33,34,25/09/2023 19:36:56,0,0
34,35,25/09/2023 19:36:56,0,0
35,36,25/09/2023 19:36:56,0,0
36,37,25/09/2023 19:36:56,0,0
37,38,25/09/2023 19:36:56,0,0
38,39,25/09/2023 19:36:56,0,0
39,40,25/09/2023 19:36:56,0,0
40,41,25/09/2023 19:36:56,0,0
41,42,25/09/2023 19:36:56,0,0
42,43,25/09/2023 19:36:56,0,0
43,44,25/09/2023 19:36:56,0,0
44,45,25/09/2023 19:36:56,0,0
45,46,25/09/2023 19:36:56,0,0
46,47,25/09/2023 19:36:56,0,0
47,48,25/09/2023 19:36:56,0,0
48,49,25/09/2023 19:36:57,0,0
49,50,25/09/2023 19:36:57,0,0
50,51,25/09/2023 19:36:57,0,0
51,52,25/09/2023 19:36:57,0,0
52,53,25/09/2023 19:36:57,0,0
53,54,25/09/2023 19:36:57,0,0
54,55,25/09/2023 19:36:57,0,0
55,56,25/09/2023 19:36:57,0,0
56,57,25/09/2023 19:36:57,0,0
57,58,25/09/2023 19:36:57,0,0
58,59,25/09/2023 19:36:57,0,0
59,60,25/09/2023 19:36:57,0,0
60,61,25/09/2023 19:36:57,0,0
61,62,25/09/2023 19:36:57,0,0
62,63,25/09/2023 19:36:57,0,0
63,64,25/09/2023 19:36:58,0,0
64,65,25/09/2023 19:36:58,0,0
65,66,25/09/2023 19:36:58,0,0
66,67,25/09/2023 19:36:58,0,0
67,68,25/09/2023 19:36:58,0,0
68,69,25/09/2023 19:36:58,0,0
69,70,25/09/2023 19:36:58,0,0
70,71,25/09/2023 19:36:58,0,0
71,72,25/09/2023 19:36:58,0,0
72,73,25/09/2023 19:36:58,0,0
73,74,25/09/2023 19:36:58,0,0
74,75,25/09/2023 19:36:58,0,0
75,76,25/09/2023 19:36:58,0,0
76,77,25/09/2023 19:36:58,0,0
77,78,25/09/2023 19:36:58,0,0
78,79,25/09/2023 19:36:59,0,0
79,80,25/09/2023 19:36:59,0,0
80,81,25/09/2023 19:36:59,0,0
81,82,25/09/2023 19:36:59,0,0
82,83,25/09/2023 19:36:59,0,0
