,Framecount,Timestamp,Motion Detected,Face Detected
0,1,25/09/2023 19:47:36,0,0
1,2,25/09/2023 19:47:36,0,0
2,3,25/09/2023 19:47:36,0,0
3,4,25/09/2023 19:47:36,0,0
4,5,25/09/2023 19:47:36,0,0
5,6,25/09/2023 19:47:37,0,0
6,7,25/09/2023 19:47:37,0,0
7,8,25/09/2023 19:47:37,0,0
8,9,25/09/2023 19:47:37,0,0
9,10,25/09/2023 19:47:37,0,0
10,11,25/09/2023 19:47:37,0,0
11,12,25/09/2023 19:47:37,0,0
12,13,25/09/2023 19:47:37,0,0
13,14,25/09/2023 19:47:37,0,0
14,15,25/09/2023 19:47:37,0,0
15,16,25/09/2023 19:47:37,0,0
16,17,25/09/2023 19:47:37,0,0
17,18,25/09/2023 19:47:37,0,0
18,19,25/09/2023 19:47:37,0,0
19,20,25/09/2023 19:47:37,0,0
20,21,25/09/2023 19:47:38,0,0
21,22,25/09/2023 19:47:38,0,0
22,23,25/09/2023 19:47:38,0,0
23,24,25/09/2023 19:47:38,0,0
24,25,25/09/2023 19:47:38,0,0
25,26,25/09/2023 19:47:38,0,0
26,27,25/09/2023 19:47:38,0,0
27,28,25/09/2023 19:47:38,0,0
28,29,25/09/2023 19:47:38,0,0
29,30,25/09/2023 19:47:38,0,0
30,31,25/09/2023 19:47:38,0,0
31,32,25/09/2023 19:47:38,0,0
32,33,25/09/2023 19:47:38,0,0
33,34,25/09/2023 19:47:38,0,0
34,35,25/09/2023 19:47:38,0,0
35,36,25/09/2023 19:47:39,0,0
36,37,25/09/2023 19:47:39,0,0
37,38,25/09/2023 19:47:39,0,0
38,39,25/09/2023 19:47:39,0,0
39,40,25/09/2023 19:47:39,0,0
40,41,25/09/2023 19:47:39,0,0
41,42,25/09/2023 19:47:39,0,0
42,43,25/09/2023 19:47:39,0,0
43,44,25/09/2023 19:47:39,0,0
44,45,25/09/2023 19:47:39,0,0
45,46,25/09/2023 19:47:39,0,0
46,48,25/09/2023 19:47:39,True,0
47,49,25/09/2023 19:47:39,True,0
48,50,25/09/2023 19:47:39,True,0
49,51,25/09/2023 19:47:40,True,0
50,52,25/09/2023 19:47:40,True,0
51,54,25/09/2023 19:47:40,True,0
52,55,25/09/2023 19:47:40,True,0
53,56,25/09/2023 19:47:40,True,0
54,57,25/09/2023 19:47:40,True,0
55,58,25/09/2023 19:47:40,True,0
56,59,25/09/2023 19:47:40,True,0
57,60,25/09/2023 19:47:40,True,0
58,61,25/09/2023 19:47:40,True,0
59,62,25/09/2023 19:47:40,True,0
60,63,25/09/2023 19:47:40,True,0
61,64,25/09/2023 19:47:40,True,0
62,65,25/09/2023 19:47:40,True,0
63,66,25/09/2023 19:47:41,True,0
64,67,25/09/2023 19:47:41,True,0
65,68,25/09/2023 19:47:41,True,0
66,69,25/09/2023 19:47:41,True,0
67,70,25/09/2023 19:47:41,True,0
68,71,25/09/2023 19:47:41,True,0
69,72,25/09/2023 19:47:41,True,0
70,73,25/09/2023 19:47:41,True,0
71,74,25/09/2023 19:47:41,True,0
72,75,25/09/2023 19:47:41,True,0
73,76,25/09/2023 19:47:41,True,0
74,77,25/09/2023 19:47:41,True,0
75,78,25/09/2023 19:47:41,True,0
76,79,25/09/2023 19:47:41,True,0
77,81,25/09/2023 19:47:42,0,0
78,82,25/09/2023 19:47:42,0,0
79,83,25/09/2023 19:47:42,0,0
80,84,25/09/2023 19:47:42,0,0
81,85,25/09/2023 19:47:42,0,0
82,86,25/09/2023 19:47:42,0,0
83,87,25/09/2023 19:47:42,0,0
84,88,25/09/2023 19:47:42,0,0
85,89,25/09/2023 19:47:42,0,0
86,90,25/09/2023 19:47:42,0,0
87,91,25/09/2023 19:47:42,0,0
88,92,25/09/2023 19:47:42,0,0
89,93,25/09/2023 19:47:42,0,0
90,94,25/09/2023 19:47:42,0,0
91,95,25/09/2023 19:47:42,0,0
92,96,25/09/2023 19:47:43,0,0
93,97,25/09/2023 19:47:43,0,0
94,98,25/09/2023 19:47:43,0,0
95,99,25/09/2023 19:47:43,0,0
96,100,25/09/2023 19:47:43,0,0
97,101,25/09/2023 19:47:43,0,0
98,102,25/09/2023 19:47:43,0,0
99,103,25/09/2023 19:47:43,0,0
100,104,25/09/2023 19:47:43,0,0
101,105,25/09/2023 19:47:43,0,0
102,106,25/09/2023 19:47:43,0,0
103,107,25/09/2023 19:47:43,0,0
104,108,25/09/2023 19:47:43,0,0
105,109,25/09/2023 19:47:43,0,0
106,110,25/09/2023 19:47:43,0,0
107,111,25/09/2023 19:47:44,0,0
108,112,25/09/2023 19:47:44,0,0
109,113,25/09/2023 19:47:44,0,0
110,114,25/09/2023 19:47:44,0,0
111,115,25/09/2023 19:47:44,0,0
112,116,25/09/2023 19:47:44,0,0
113,117,25/09/2023 19:47:44,0,0
114,118,25/09/2023 19:47:44,0,0
115,119,25/09/2023 19:47:44,0,0
116,120,25/09/2023 19:47:44,0,0
117,121,25/09/2023 19:47:44,0,0
118,122,25/09/2023 19:47:44,0,0
